1,1,1,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum."
2,2,2,Duis aliquam convallis nunc.
3,3,5,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio."
4,4,3,Sed accumsan felis. Ut at dolor quis odio consequat varius.
5,5,4,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.
6,6,5,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
7,7,2,Morbi ut odio.
8,8,5,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
9,9,4,Donec quis orci eget orci vehicula condimentum.
10,10,5,Curabitur in libero ut massa volutpat convallis.
11,11,5,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
12,12,4,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
13,13,4,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
14,14,3,Etiam justo.
15,15,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
16,16,2,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
17,17,5,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
18,18,5,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
19,19,3,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
20,20,1,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
21,21,4,In sagittis dui vel nisl. Duis ac nibh.
22,22,5,Curabitur at ipsum ac tellus semper interdum.
23,23,1,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.
24,24,3,Curabitur gravida nisi at nibh.
25,25,2,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus."
26,26,3,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.
27,27,2,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
28,28,2,Etiam pretium iaculis justo.
29,29,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.
30,30,2,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
31,31,3,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
32,32,3,Praesent id massa id nisl venenatis lacinia.
33,33,2,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
34,34,2,In hac habitasse platea dictumst.
35,35,1,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
36,36,2,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.
37,37,4,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue."
38,38,2,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
39,39,2,Nunc rhoncus dui vel sem.
40,40,2,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy."
41,41,2,Nulla nisl. Nunc nisl.
42,42,2,Proin risus.
43,43,3,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
44,44,4,Cras pellentesque volutpat dui.
45,45,1,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.
46,46,3,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
47,47,1,Aliquam non mauris. Morbi non lectus.
48,48,5,Aliquam non mauris.
49,49,5,Maecenas rhoncus aliquam lacus.
50,50,4,Phasellus sit amet erat. Nulla tempus.
51,51,1,Maecenas pulvinar lobortis est.
52,52,4,Etiam pretium iaculis justo. In hac habitasse platea dictumst.
53,53,4,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.
54,54,2,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
55,55,5,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum."
56,56,4,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
57,57,2,Morbi quis tortor id nulla ultrices aliquet.
58,58,2,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
